covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
bt__albumin,-0.010653658181664244,0.9894028910378156,0.013017607860094867,-0.03616770075231571,0.01486038438898722,0.9644785361439847,1.0149713488780505,0.0,-0.8184036803200034,0.41312672094070646,1.275343718494079
bt__alkaline_phosphatase,0.0050996455354774175,1.005112670859871,0.0012776502045220922,0.002595497149773883,0.007603793921180952,1.0025988683685332,1.0076327761739676,0.0,3.991425444482241,6.567733647058515e-05,13.894244854303373
bt__alt_gpt,0.00965823008206493,1.0097050213050354,0.002946032447731561,0.003884112587224691,0.015432347576905169,1.0038916655281782,1.015552041177879,0.0,3.278385507770543,0.0010440270677923523,9.903625168478838
bt__ast_got,0.032928321924844156,1.0334764589830732,0.004345495511076169,0.02441130722815439,0.04144533662153392,1.024711702555437,1.0423161837701456,0.0,7.577575869291234,3.520711410560835e-14,44.69112635274604
bt__basophils_%,2.1410501627242653e-08,1.0000000214105018,4.3958400203097646e-05,-8.613547071444233e-05,8.617829171769682e-05,0.9999138682388387,1.0000861820051734,0.0,0.0004870628032030589,0.9996113801245483,0.0005607689371411958
bt__basophils_abs,0.08722468645275115,1.0911418169620393,0.735916998855689,-1.3551461269152034,1.5295954998207055,0.25790960416325226,4.616309146710169,0.0,0.11852516871927243,0.9056515538963879,0.14297200947188732
bt__bilirubin_total,5.93068261934322e-09,1.0000000059306826,7.764373425244903e-06,-1.5211961593380565e-05,1.522382295861925e-05,0.9999847881541079,1.0000152239388416,0.0,0.0007638327389123682,0.9993905497098491,0.000879518950040296
bt__calcium,7.926665252811247e-08,1.0000000792666557,0.00019144261497850348,-0.00037514136381150697,0.0003752998971165632,0.9996249289929118,1.000375370330934,0.0,0.0004140491527292034,0.9996696365830633,0.00047669240850840557
bt__creatinine,3.4761815410240655e-10,1.0000000003476182,1.1128610338570736e-06,-2.1808199280037716e-06,2.1815151643119764e-06,0.99999781918245,1.0000021815175437,0.0,0.0003123643865016947,0.9997507692827186,0.0003596087344922452
bt__eosinophils_%,8.968659550289856e-09,1.0000000089686596,1.2463100938784782e-05,-2.441826031615522e-05,2.44361976352558e-05,0.9999755820378071,1.0000244364962017,0.0,0.0007196170194192737,0.99942582874007,0.0008285919289280597
bt__eosinophils_abs,1.2624062001626004e-07,1.000000126240628,0.00017472153638552716,-0.0003423216780191216,0.0003425741592591541,0.9996577369073613,1.0003426328444875,0.0,0.0007225246676958423,0.999423508773005,0.0008319408606528333
bt__glucose,0.10163729556579361,1.1069818916642082,0.03149133539064257,0.03991541237506258,0.16335917875652464,1.0407227382044202,1.1774595321965304,0.0,3.2274685815957627,0.00124890755436929,9.645117593776257
