covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
bt__albumin,0.05992709193034407,1.0617591329145344,0.02919967903069386,0.0026967726700546646,0.11715741119063347,1.002700412232427,1.1242963925959841,0.0,2.0523202281556054,0.04013855140367911,4.638867638854956
bt__alkaline_phosphatase,0.07318343045082976,1.0759278767505753,0.024621268514723103,0.024926630908282482,0.12144022999337703,1.0252398968448921,1.129121876286226,0.0,2.9723663671945784,0.002955138215376639,8.402558676095074
bt__alt_gpt,0.4893410777583979,1.6312410047732244,0.037328178339937144,0.41617919260363295,0.5625029629131628,1.5161575287452154,1.7550598570425469,0.0,13.109160412332672,2.9181094422877952e-39,128.01016170875468
bt__ast_got,-0.18013006504314255,0.8351615790199806,0.03215555555404847,-0.24315379583195446,-0.11710633425433065,0.7841509053563912,0.8894906048143126,0.0,-5.601833398287025,2.1209636342312605e-08,25.490704874281345
bt__basophils_%,-0.30884927685554064,0.7342914364003058,0.035272605829823826,-0.3779823139228729,-0.23971623978820839,0.6852426198125247,0.7868511064275884,0.0,-8.756066346376974,2.021827340889489e-18,58.77904590809966
bt__basophils_abs,0.5061720854667046,1.6589287877231116,0.037085316229017076,0.43348620130255233,0.5788579696308568,1.5426260652004262,1.7839998848839056,0.0,13.64885450459378,2.0507684368305952e-42,138.48481538662384
bt__bilirubin_total,0.2078555280505773,1.2310353066305186,0.025971426213956577,0.15695246804408297,0.25875858805707164,1.1699400030426272,1.2953210611054549,0.0,8.003238880230594,1.2118851311506922e-15,49.55166846424622
bt__calcium,0.031078758262066422,1.0315667450913215,0.028881500873058318,-0.02552794326859001,0.08768545979272285,0.9747951396227579,1.0916447018705058,0.0,1.0760783658254334,0.2818922102280723,1.8267844836714953
bt__creatinine,-0.2583009769827655,0.7723627337151568,0.0314814262603104,-0.32000343863492736,-0.19659851533060363,0.7261465401165427,0.8215203949552774,0.0,-8.204868955013435,2.3084253946530417e-16,51.94394041110978
bt__eosinophils_%,-1.642015485286207e-07,0.999999835798465,0.0002648137641831666,-0.0005191896419580181,0.0005188612388609609,0.9994809451136618,1.0005189958706375,0.0,-0.0006200642517019834,0.9995052603385641,0.0007139350766496076
bt__eosinophils_abs,-0.000995203268896824,0.9990052917816374,0.030780133738748886,-0.06132315683617084,0.059332750298377195,0.9405192554344021,1.0611282727505222,0.0,-0.03233264927773753,0.9742067724506323,0.03770008240600349
bt__glucose,0.5283875940051395,1.6961951472799655,0.02628605604272031,0.4768678708658062,0.5799073171444727,1.611020567238218,1.7858729032791276,0.0,20.101440594450523,7.168230583533203e-90,296.13191149393344
bt__hba1c,3.3731495070435846,29.170254455802382,0.03930976596403563,3.2961037815133762,3.450195232573793,27.007207680622354,31.506542811783586,0.0,85.80945279932898,0.0,inf
bt__hct,0.17705331727278834,1.1936947359783563,0.1376737440979468,-0.09278226277597124,0.4468888973215479,0.9113919226406294,1.5634405871998192,0.0,1.2860354632821294,0.19843068535006625,2.333292953339675
bt__hdl_cholesterol,-0.31825100771863984,0.7274201774179432,0.03404444148586801,-0.3849768869047224,-0.25152512853255726,0.6804663637067289,0.7776139170676241,0.0,-9.348104825004905,8.923221032489843e-21,66.60292541603317
bt__hemoglobin,0.022234688916166166,1.0224837219105007,0.14162153183768086,-0.25533841292108095,0.29980779075341324,0.7746543005734063,1.349599377164861,0.0,0.15700076554496242,0.8752442447669962,0.19224242474990638
bt__ldl_cholesterol,-0.2798898425439987,0.755867001255731,0.025293759266928624,-0.329464699740805,-0.23031498534719233,0.7193086765136474,0.7942833754716866,0.0,-11.065569162348766,1.8428918147438505e-28,92.13201527546714
bt__lymphocytes_%,0.04942327034156476,1.0506649719574532,0.10339678124670738,-0.15323069701934816,0.2520772377024777,0.8579317766759121,1.286695414844575,0.0,0.4779962175383348,0.6326528971952484,0.6605139077788487
bt__lymphocytes_abs,0.010366957613235335,1.0104208806966606,0.057434133872650915,-0.10220187626041244,0.1229357914868831,0.90284726983975,1.130811810871431,0.0,0.1805016793014074,0.8567587361564866,0.22303909726414814
bt__mch,0.04696875071380027,1.0480892565267712,0.047681544975130316,-0.04648536016468194,0.14042286159228248,0.9545785353402314,1.1507603083232072,0.0,0.9850509403228896,0.32459904970370584,1.6232693186298137
bt__mchc,0.1065164342888447,1.1123962077360519,0.04566394698357318,0.017016742809094834,0.19601612576859456,1.0171623523377589,1.2165465229238548,0.0,2.332615582423529,0.019668330361314986,5.66798169691112
