covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
bt__albumin,-0.03723160382932666,0.9634529701098354,0.00884566662499595,-0.05456879183356669,-0.019894415825086626,0.9468933680862913,0.9803021722387562,0.0,-4.209021819126459,2.5647862330898017e-05,15.250801887712864
bt__alkaline_phosphatase,0.030102185024304333,1.030559836355186,0.0078117573761863545,0.014791421911013968,0.045412948137594694,1.0149013563522167,1.0464599043651754,0.0,3.8534459756864607,0.00011646697061137057,13.067791506999235
bt__alt_gpt,-0.03723414048859159,0.9634505261610322,0.008601634209333233,-0.05409303374707239,-0.020375247230110787,0.9473439674428508,0.9798309254721321,0.0,-4.32872865579317,1.4997257299677784e-05,16.024941789845577
bt__ast_got,3.654942842990784e-08,1.000000036549429,2.6475015140306065e-05,-5.1853526736722625e-05,5.192662559358244e-05,0.9999481478176341,1.0000519279738043,0.0,0.0013805253079634428,0.9988985005208605,0.0015900036910664905
bt__basophils_%,1.0525264352454279e-08,1.0000000105252644,1.4057398150236092e-05,-2.7541468826450263e-05,2.7562519355155173e-05,0.9999724589104364,1.0000275628992048,0.0,0.0007487348825129142,0.9994025960529263,0.0008621292572095734
bt__basophils_abs,0.024146463612013738,1.0244403501371946,0.007095558188638489,0.010239425112074037,0.038053502111953436,1.010292027411185,1.0387868086799068,0.0,3.4030393339141956,0.0006664068599500317,10.551309127758124
bt__bilirubin_total,-2.093605728529182e-08,0.9999999790639429,1.707185216924718e-05,-3.348115145840176e-05,3.3439279343831184e-05,0.9999665194090291,1.0000334398384427,0.0,-0.001226349494930932,0.9990215149171089,0.0014123466694855953
bt__calcium,-0.011026238372738067,0.9890343277835711,0.008637307454238229,-0.027955049906444335,0.005902573160968202,0.9724320767316824,1.0059200276712041,0.0,-1.276582827594914,0.20174956770049998,2.309362512720183
bt__creatinine,-2.103310742885625e-08,0.9999999789668927,1.7110690009137898e-05,-3.3557369275968464e-05,3.3515303061110746e-05,0.9999664431937662,1.0000335158647051,0.0,-0.0012292378283765063,0.9990192103621832,0.0014156746997110617
bt__eosinophils_%,0.023292213791541887,1.0235655958345542,0.012136160170738243,-0.0004942230537145417,0.047078650636798315,0.9995058990543817,1.0482044477849979,0.0,1.9192408030096904,0.05495386586733516,4.185635215034155
bt__eosinophils_abs,0.028832527897169433,1.0292522090088698,0.011549315478354362,0.006196285513503895,0.05146877028083497,1.006215522202067,1.0528163066211365,0.0,2.4964707173517886,0.01254360247951196,6.316904445068985
bt__glucose,-2.52920683365638e-08,0.999999974707932,1.9032494067796105e-05,-3.732829497718916e-05,3.727771084051603e-05,0.999962672401715,1.000037278405663,0.0,-0.001328888807030246,0.9989397004499188,0.0015305004406862728
bt__hba1c,0.01035447962967088,1.0104082727601789,0.007570133402270397,-0.004482709196942764,0.025191668456284524,0.9955273231476367,1.025511659925385,0.0,1.367806758407377,0.17137257166929667,2.5447918715698585
bt__hct,0.017196314216180036,1.0173450220132367,0.01287242776081102,-0.008033180588603136,0.04242580902096321,0.9919989991802967,1.0433386471864803,0.0,1.3359029497553452,0.18158099669585498,2.46131486917046
bt__hdl_cholesterol,0.046845115697841506,1.0479596840048298,0.009565969454125165,0.028096160090545903,0.06559407130513711,1.028494579798374,1.0677931812871564,0.0,4.897058883837469,9.728169417267839e-07,19.971328310499544
bt__hemoglobin,0.014263746339328733,1.0143659589692826,0.013156728719315,-0.011522968104892457,0.04005046078354992,0.9885431670240151,1.0408632956447068,0.0,1.0841407954538542,0.27830237717029327,1.845274863123532
bt__ldl_cholesterol,-0.03253548815141593,0.9679880971135932,0.008123241016523177,-0.0484567479815399,-0.016614228321291964,0.9526985445497592,0.9835230267895679,0.0,-4.005234866876007,6.195589111891644e-05,13.978399005889138
bt__lymphocytes_%,-0.034114988493079416,0.966460366426665,0.009354136528985663,-0.05244875919636183,-0.015781217789797006,0.9489029423594344,0.9843426531601552,0.0,-3.6470483820037582,0.0002652699903535841,11.88025090495122
bt__lymphocytes_abs,-9.051738581045373e-09,0.9999999909482614,1.3802021166207146e-05,-2.7060516138206568e-05,2.7042412661044475e-05,0.9999729398499941,1.0000270427783104,0.0,-0.0006558270322905779,0.999476725773889,0.0007551227163977383
bt__mch,0.014179602817792333,1.01428061023619,0.013109549281415524,-0.01151464162733504,0.039873847262919704,0.988551398140778,1.0406794813460913,0.0,1.0816239760350683,0.27941964641214845,1.8394946325333015
bt__mchc,-0.004734182103956722,0.995277006472923,0.009849136507572827,-0.024038134937618073,0.01456977072970463,0.9762484798731544,1.014676427196496,0.0,-0.4806697623001461,0.6307512250446593,0.6648569916816034
