covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
bt__albumin,0.01590230957088622,1.0160294242072963,0.021461217683955192,-0.026160904154040068,0.057965523295812504,0.9741783276575672,1.0596784608596617,0.0,0.7409789046021878,0.45870623117601395,1.1243575894171836
bt__alkaline_phosphatase,0.05089978737069189,1.0522174425230242,0.017546141052457005,0.016509982840216438,0.08528959190116733,1.0166470257602125,1.0890323959997794,0.0,2.900910645737932,0.0037207996083560356,8.070171591542127
bt__alt_gpt,2.3007744231492382e-08,1.0000000230077446,4.3136587487857165e-05,-8.452315014792967e-05,8.456916563639266e-05,0.999915480421833,1.0000845727417091,0.0,0.0005333695957745614,0.9995744326545076,0.0006140945774758053
bt__ast_got,0.01485166573859158,1.0149624997362743,0.017894744010611516,-0.020221388034770835,0.049924719511954,0.9799816930680875,1.0511919591536019,0.0,0.8299456940979205,0.4065694883058274,1.2984261451291472
bt__basophils_%,-0.013268367013093097,0.9868192697414422,0.03209368445389314,-0.0761708326739167,0.049634098647730496,0.9266578895918268,1.05088650522576,0.0,-0.4134261066894602,0.6792944506128296,0.5578910265189172
bt__basophils_abs,0.02062079034497195,1.0208348677921861,0.033005329641672534,-0.0440684670505785,0.08531004774052241,0.9568884399009622,1.089054673299374,0.0,0.6247715314115856,0.5321210177489409,0.9101737065829439
bt__bilirubin_total,-0.017550594896705723,0.9826025197344088,0.01839041819304576,-0.053595152215705585,0.018493962422294143,0.9478157499442438,1.0186660348756669,0.0,-0.9543336487770784,0.339914780626494,1.5567549984596178
bt__calcium,-0.02589891135350351,0.9744335888026832,0.021315681305537796,-0.06767687901829131,0.01587905631128429,0.9345624015156064,1.0160057984860205,0.0,-1.2150168217599968,0.22435967561063141,2.1561146926672734
bt__creatinine,-0.04882863215455353,0.9523443169092971,0.0223308357649495,-0.0925962659985335,-0.005060998310573564,0.911561454366912,0.9949517869635326,0.0,-2.186601194353639,0.028771650089159415,5.1192082260078635
bt__eosinophils_%,0.17457466427067017,1.1907396447731922,0.05476036487503267,0.06724632133533393,0.2819030072060064,1.0695589009066382,1.3256501352405208,0.0,3.187974818448761,0.0014327301315686305,9.44701739488972
